"date","currency","rate"
2003-08-15,"USD",1
2003-08-15,"AUD",1.5194
2003-08-15,"BGN",1.7305
2003-08-15,"CAD",1.3923
2003-08-15,"CHF",1.3726
2003-08-15,"CYP",0.52183
2003-08-15,"CZK",28.63
2003-08-15,"DKK",6.6086
2003-08-15,"EEK",13.912
2003-08-15,"GBP",0.62572
2003-08-15,"HKD",7.8028
2003-08-15,"HUF",231.99
2003-08-15,"ISK",79.799
2003-08-15,"JPY",119.14
2003-08-15,"KRW",1179
2003-08-15,"LTL",3.0697
2003-08-15,"LVL",0.57224
2003-08-15,"MTL",0.37983
2003-08-15,"NOK",7.3642
2003-08-15,"NZD",1.6984
2003-08-15,"PLN",3.889
2003-08-15,"ROL",33191
2003-08-15,"SEK",8.2086
2003-08-15,"SGD",1.75
2003-08-15,"SIT",208.96
2003-08-15,"SKK",37.486
2003-08-15,"TRL",99999.99999
2003-08-15,"ZAR",7.3451
2003-08-15,"EUR",0.88913
2003-08-16,"USD",1
2003-08-16,"AUD",1.5194
2003-08-16,"BGN",1.7305
2003-08-16,"CAD",1.3923
2003-08-16,"CHF",1.3726
2003-08-16,"CYP",0.52183
2003-08-16,"CZK",28.63
2003-08-16,"DKK",6.6086
2003-08-16,"EEK",13.912
2003-08-16,"GBP",0.62572
2003-08-16,"HKD",7.8028
2003-08-16,"HUF",231.99
2003-08-16,"ISK",79.799
2003-08-16,"JPY",119.14
2003-08-16,"KRW",1179
2003-08-16,"LTL",3.0697
2003-08-16,"LVL",0.57224
2003-08-16,"MTL",0.37983
2003-08-16,"NOK",7.3642
2003-08-16,"NZD",1.6984
2003-08-16,"PLN",3.889
2003-08-16,"ROL",33191
2003-08-16,"SEK",8.2086
2003-08-16,"SGD",1.75
2003-08-16,"SIT",208.96
2003-08-16,"SKK",37.486
2003-08-16,"TRL",99999.99999
2003-08-16,"ZAR",7.3451
2003-08-16,"EUR",0.88913
2003-08-17,"USD",1
2003-08-17,"AUD",1.5194
2003-08-17,"BGN",1.7305
2003-08-17,"CAD",1.3923
2003-08-17,"CHF",1.3726
2003-08-17,"CYP",0.52183
2003-08-17,"CZK",28.63
2003-08-17,"DKK",6.6086
2003-08-17,"EEK",13.912
